matchId,blueTop,blueJungle,blueMid,blueADC,blueSupport,redTop,redJungle,redMid,redADC,redSupport,blueWin,blueTopMastery,blueTopRank,blueJungleMastery,blueJungleRank,blueMidMastery,blueMidRank,blueADCMastery,blueADCRank,blueSupportMastery,blueSupportRank,redTopMastery,redTopRank,redJungleMastery,redJungleRank,redMidMastery,redMidRank,redADCMastery,redADCRank,redSupportMastery,redSupportRank
KR_8157515619,Ambessa,Talon,Orianna,Ezreal,Neeko,Fiora,Jayce,Syndra,Corki,Bard,1,494934.0,3.0,35915.0,3.0,27320.0,3.0,524572.0,3.0,216889.0,3.0,216019.0,3.0,49340.0,3.0,222719.0,3.0,46568.0,3.0,92255.0,3.0
KR_8157419742,Vayne,Nocturne,Sylas,Sivir,Anivia,Fiora,Taliyah,Mel,Ezreal,Alistar,1,93366.0,3.0,2960.0,3.0,81649.0,3.0,26477.0,3.0,15131.0,3.0,216019.0,3.0,582910.0,3.0,60957.0,3.0,76063.0,3.0,45820.0,3.0
KR_8157372389,Fiora,Kindred,Galio,Yunara,Anivia,Aurora,LeeSin,Smolder,Ezreal,Maokai,1,216019.0,3.0,122366.0,3.0,28858.0,3.0,111400.0,3.0,15131.0,3.0,23136.0,3.0,534674.0,3.0,52894.0,3.0,15195.0,3.0,1784093.0,3.0
KR_8157237916,Jayce,Khazix,Galio,Ezreal,Bard,Fiora,Pantheon,Irelia,Caitlyn,Neeko,1,108309.0,3.0,505162.0,3.0,208198.0,3.0,231881.0,3.0,357172.0,3.0,216019.0,3.0,15224.0,3.0,1043331.0,3.0,58782.0,3.0,501.0,3.0
KR_8157198560,Fiora,Kindred,TwistedFate,Sivir,Lulu,Renekton,LeeSin,Akali,Yunara,Nautilus,1,216019.0,3.0,122366.0,3.0,51166.0,3.0,26610.0,3.0,86103.0,3.0,1890598.0,3.0,662921.0,3.0,30691.0,3.0,82619.0,3.0,11600.0,3.0
KR_8157142960,Ekko,Naafiri,Sylas,Jhin,Alistar,Fiora,Graves,Yasuo,Swain,Rell,0,446867.0,3.0,17786.0,3.0,54337.0,3.0,709322.0,3.0,5725.0,3.0,216019.0,3.0,65462.0,3.0,393189.0,3.0,63469.0,3.0,36853.0,3.0
KR_8156722407,Anivia,XinZhao,Katarina,Corki,Bard,Fiora,Naafiri,Mel,Twitch,Elise,0,79658.0,3.0,654516.0,3.0,4631328.0,3.0,21730.0,3.0,64019.0,3.0,4198546.0,3.0,72524.0,3.0,2398.0,3.0,374324.0,3.0,8697.0,3.0
KR_8156363463,Fiora,Kindred,Orianna,Jinx,Poppy,Jax,JarvanIV,Viktor,Mel,Rammus,1,216019.0,3.0,122366.0,3.0,123157.0,3.0,90444.0,3.0,125037.0,3.0,163363.0,3.0,146177.0,3.0,13165.0,3.0,5385.0,3.0,7052853.0,3.0
KR_8161701582,Zaahen,Zac,Ahri,Ezreal,FiddleSticks,Jax,LeeSin,Ryze,Jinx,Thresh,1,28266.0,3.0,1099454.0,3.0,122056.0,3.0,247690.0,3.0,4263408.0,3.0,24254.0,3.0,280750.0,3.0,76874.0,3.0,59818.0,3.0,4608303.0,3.0
KR_8161687996,Zaahen,LeeSin,Katarina,Caitlyn,Bard,Ambessa,Graves,Ahri,Ezreal,Naafiri,1,28266.0,3.0,3148.0,3.0,1123700.0,3.0,20134.0,3.0,5825067.0,3.0,634196.0,3.0,787943.0,3.0,92527.0,3.0,330237.0,3.0,25046.0,3.0
